Conutry_Adress,Descripiton,Founded_Year,Horly_Rate,Number_of_Employees,Phone_Number,Project_Size,Street_Adress,company_name,company_website
China,"OneConnect is a business technology service provider (Technology-as-a-Service Provider) for financial institutions and is a national high-tech enterprise. The company integrates rich financial service experience and technology to provide financial institutions with ""technology + business"" solutions to help customers improve efficiency, improve services, reduce costs, reduce risks, and achieve digital transformation. As an associate company of China Ping An Group, OneConnect relies on Ping An Group's 30 years of rich experience in the financial industry, through in-depth insight into the digital needs of financial institutions and long-term cooperation, to provide ""horizontal integration, vertical full coverage"" integrated products - —Including digital banking, digital insurance, and the Gama platform that provides fintech infrastructure services; OneConnect proposed the “one body and two wings” upgrade strategy in September 2021. While deepening financial institutions, it also actively promotes the ecosystem of financial services It provides government, regulatory and corporate users with related technology services such as trade, credit, supply chain, data security, and risk management. The company has also successfully exported ""Made in China"" technology solutions to overseas financial institutions, serving more than 100 customers in 20 countries/regions mainly in Southeast Asia. OneConnect has strong cutting-edge technologies such as artificial intelligence, big data and blockchain. As of December 31, 2021, there have been 5,652 global patent applications, including 1,525 overseas patent applications.",Founded 2015,Undisclosed,10 - 49,400-6065511,Undisclosed,"Building A, Poly West Bank Center, No. 1119, Wanping South Road","OneConnect Financial Technology Co., Ltd.",https://www.ocft.com/
United States,"The leader in materials intelligence focused on the digitalization of the supply ecosystem to conquer materials complexity by leveraging its advanced artificial intelligence (AI), data harmonization, and decision support to help premier global companies attain supply chain resiliency and improve their bottom lines. The company’s platform harmonizes disparate material data across legacy systems and processes while providing trusted data across the enterprise to reduce supplier and operational risk. The result is a data foundation organizations can trust to fuel digitalized transformation and support related Supply Chain and Industry 4.0 initiatives.",Founded 2015,Undisclosed,50 - 249,+1.855.692.8848,Undisclosed,"75 5th St NW, Suite 2060",Verusen,https://verusen.com/
United States,"NTT DATA Services is a recognized leader in IT and business services including cloud, data and applications. A division of NTT DATA headquartered in Texas, the company leverages consulting and deep industry expertise to help clients accelerate and sustain value throughout their digital journeys.",Founded 0,Undisclosed,"10,000+",+1 800-745-3263,Undisclosed,"7950 Legacy Drive, Suite 900, Plano",NTT DATA Services,https://us.nttdata.com/en/
France,"Texeï is a consultancy company dedicated to Salesforce and Heroku expertise and Agile methodology. We deliver IT consulting services and training programs. Our expertises are focused on Salesforce product management both on Sales, Service, Marketing and IoT clouds. Our technical teams build high-quality Force.com and Heroku components to empower your web and mobile strategy with Salesforce.",Founded 2016,Undisclosed,10 - 49,+33 140.760.858,Undisclosed,156 boulevard Haussmann,Texeï,https://texei.com/nos-expertises/
Poland,,Founded 2020,$50 - $99 / hr,50 - 249,+48 71 707 00 98,Undisclosed,ul. Józefa Piłsudskiego 74/320,Sofixit,https://sofixit.pl/
Singapore,"Our experienced team is focused exclusively on data intensive projects – data science, machine learning, artificial intelligence, big data engineering, API development etc.  Leverage your data to connect with more customers, increase your ROI, and take your business to the next level.",Founded 2004,$25 - $49 / hr,10 - 49,+1 972 665 8273,"$1,000+","Level 19 & 20, Tower 2, 1 Raffles Place",ActiveWizards,https://activewizards.com/
China,"Wuhan LinkTime Cloud Technology Co., Ltd., established in August, 2016, focuses on the research and development of cutting-edge technologies in the field of cloud computing and big data. The company's founding team members are from Twitter, Apple and Electronic Arts (EA) and other well-known enterprises in Silicon Valley, they are the first batch of technical experts engaged in cloud computing and big data research & practice in Silicon Valley. They have more than ten years of experience in system architecture and system development of cloud computing and big data systems. As a high-tech enterprise with core technologies in the field of cloud computing and big data, the company has received investment from Silicon Valley and well-known domestic investors as well as investment institutions. The company obtained Tens of Millions RMB of pre-A round financing of linear capital in April, 2019 and Tens of Millions RMB of A round financing led by GSR Capital Joint Capital and followed by linear capital in July, 2020.",Founded 2016,Undisclosed,10 - 49,+86-400-804-19/+86-27-8759-9408,Undisclosed,"6F, Jucheng Building, Wudayuan Road, Wuhan East Lake High-Tech Development Zone","Wuhan LinkTime Cloud Technology Co., Ltd.",https://www.linktimecloud.com/
Germany,"Discover the enormous potential for your company processes with pi4. Our experienced pi4 consultants help you to find the best possible and most efficient automation solution for your production. In addition, the consultants can work with you to tap the enormous potential for implementing design for automation principles in your product engineering. To ensure that you get the maximum benefit from our solutions, our consulting is tailored to your needs and specifically geared to project phases. Take the next step towards greater efficiency by working with pi4 consultants and solutions. We look forward to supporting you!",Founded 1994,Undisclosed,50 - 249,+49 307.009.6940,Undisclosed,Gustav-Meyer-Allee 25,pi4_robotics GmbH,https://www.pi4.de/
United States,SERVINFORMACIÓN S.A. is a company that was born as a result of the effort and dedication of a group of professionals specialized in different areas of consulting and in the collection of Information and Implementation of Geographic Information Systems (GIS).,Founded 2000,Undisclosed,50 - 249,,Undisclosed,Calle 84 #24-78,Servinformación,http://www.servinformacion.com/
India,Avyaan management Pvt. Ltd. is the leading service provider in the AI & ML annotation services in Bhopal Along with we are Providing the Contact center services and the Digital Marketing services to national and international clients.,Founded 2022,$50 - $99 / hr,250 - 999,+91 9589629713,"$10,000+","2nd floor, shriram plaza, ahinsa vihar, ayodhya baypass, bhopal",Avyaan Management Pvt. Ltd,https://www.avyaanmgmt.com/
India,"We are a team of scientist, engineers, providing Artificial Intelligence & Machine Learning solutions that transform industries and shape the future.",Founded 2006,< $25 / hr,250 - 999,+91 9943 500 611,"$1,000+","Plot No 22, Door No 38, Rajaram Salai, K.K Nagar, Trichy 620031, Tamilnadu, India",Vinga,https://www.vinga.biz/
United States,"Chenoa is a high-growth, customer-centric software engineering services company. Our skilled professionals turn innovative ideas into reality, building products and platforms for our customers and ecosystem partners. Chenoa is one of the leading companies that offer services in implementing hyper-automation for our clients globally. Our emerging Technologies group is on the forefront of the latest innovations and trends in the technology industry, including low-code/no-code platforms, RPA, cloud services and AI.",Founded 0,Undisclosed,250 - 999,+1 732.549.6800,Undisclosed,300 Connell Drive Suite 1000,Chenoa Information Services,https://www.chenoainc.com/
United States,"One of the Boston area's fastest-growing technology companies, Jobcase is the only social media site dedicated to empowering the world's workforce. Jobcase is a social media platform that connects our 90 million+ members to each other and potential employers.",Founded 2009,Undisclosed,50 - 249,617.758.2001,Undisclosed,"201 Broadway, Suite 6","Jobcase, Inc.",https://www.jobcase.com/
Italy,"TopNetwork was founded in 2003 by a group of friends who decided to share their passion for information technology. We immediately distinguished ourselves as a company strongly oriented to enhance the potential of people, basing success on the professional excellence of our team. The future and in Digital Innovation to make the country more livable, improve everyone's life, not only through the simplification of production, organizational processes and models that govern the business.",Founded 2003,Undisclosed,250 - 999,+39.063.209.531,Undisclosed,"Via Simone Martini, 143",Topnetwork S.p.A.,https://www.topnetwork.it/
United States,"Mobilewalla is a global leader in consumer intelligence solutions, leveraging the industry’s most robust consumer data set and deep artificial intelligence expertise to better understand what drives the customer journey. Our proprietary solutions provide businesses with rich insights into consumer behavior helping them to more effectively identify, attract understand and retain their most desired customers. Founded in 2011, Mobilewalla has offices in Atlanta, New York, Singapore, UK, Australia, and India.",Founded 2011,Undisclosed,50 - 249,,Undisclosed,3340 Peachtree Rd NE,Mobilewalla,https://www.mobilewalla.com/
